user_id,age,gender,location,preferred_language,device_type,payment_method,auto_renew,plan_changes,subscription_start_date,subscription_end_date,months_using,total_revenue_inr,completion_rate,peak_hour_streaming,avg_genre_diversity,most_watched_genre
user_0001,38,Male,West Jennifershire,Spanish,Desktop,Wallet,True,0,2023-12-31,2024-08-27,8,8521.44,0.72,Afternoon,2,Thriller
user_0002,41,Male,East Natalie,Spanish,Laptop,Wallet,True,0,2022-06-25,2024-06-14,24,25564.32,0.55,Evening,4,Thriller
user_0003,56,Male,Griffinborough,Tamil,Desktop,Wallet,True,0,2023-10-20,2026-04-07,30,31955.4,0.46,Evening,3,Thriller
user_0004,66,Female,Derrickmouth,Hindi,Desktop,Credit Card,True,0,2023-09-13,2025-06-04,21,22368.78,0.54,Night,3,Romance
user_0005,48,Male,South Alexis,Spanish,Desktop,Credit Card,True,1,2022-08-17,2023-11-10,15,14379.93,0.64,Night,2,Sci-Fi
user_0006,68,Female,Ingramport,Marathi,Desktop,Debit Card,True,0,2023-07-10,2023-09-08,2,2130.36,0.57,Night,3,Horror
user_0007,39,Male,New Davidborough,Tamil,Laptop,Wallet,True,0,2022-05-16,2023-12-07,19,20238.42,0.41,Night,1,Drama
user_0008,45,Male,Brownport,Bengali,Smart TV,Credit Card,True,1,2024-01-12,2025-12-02,23,22049.23,0.62,Evening,2,Drama
user_0009,28,Male,Melaniefurt,Tamil,Desktop,Net Banking,True,0,2022-06-09,2023-06-04,12,12782.16,0.79,Evening,1,Drama
user_0010,68,Male,Jillianstad,Marathi,Smart TV,Net Banking,False,0,2022-09-18,2025-04-05,31,33020.58,0.43,Afternoon,3,Comedy
user_0011,35,Male,Andreashire,Hindi,Tablet,UPI,False,0,2023-12-20,2026-03-09,27,28759.86,1.0,Afternoon,4,Drama
user_0012,53,Male,Roblesmouth,Tamil,Mobile,Wallet,True,0,2023-10-10,2024-02-07,4,4260.72,0.79,Evening,2,Action
user_0013,23,Female,Christopherhaven,Bengali,Desktop,Wallet,False,0,2024-01-24,2026-03-14,26,27694.68,0.46,Evening,2,Romance
user_0014,55,Female,Brianville,English,Laptop,Net Banking,True,0,2023-09-03,2024-04-30,8,8521.44,0.7,Evening,4,Comedy
user_0015,61,Female,Port Aarontown,Marathi,Desktop,UPI,True,0,2022-08-04,2023-04-01,8,8521.44,0.52,Afternoon,2,Drama
user_0016,34,Female,New Heidifurt,Telugu,Smart TV,Net Banking,True,0,2024-04-16,2027-01-01,33,35150.94,0.92,Morning,1,Romance
user_0017,30,Male,North Joshua,Tamil,Tablet,Wallet,True,0,2022-09-09,2022-10-09,1,1065.18,0.56,Evening,4,Thriller
user_0018,61,Female,North Paulview,Spanish,Laptop,Net Banking,True,1,2022-07-08,2023-04-04,9,8627.96,0.52,Afternoon,2,Horror
user_0019,69,Male,North Sharonbury,Spanish,Mobile,Net Banking,True,0,2022-06-02,2023-04-28,11,11716.98,0.57,Evening,2,Action
user_0020,49,Male,Brooksstad,English,Desktop,Credit Card,True,0,2023-01-08,2024-10-29,22,23433.96,0.8,Evening,4,Comedy
user_0021,18,Male,Lake Christina,Hindi,Laptop,Debit Card,True,0,2022-10-05,2025-01-22,28,29825.04,0.57,Evening,3,Drama
user_0022,49,Female,Carpentertown,Hindi,Laptop,Net Banking,True,1,2024-02-09,2026-07-28,30,28759.86,0.88,Night,3,Comedy
user_0023,51,Female,East Lee,Spanish,Desktop,Net Banking,True,1,2024-02-25,2024-06-24,4,3834.65,1.0,Night,4,Comedy
user_0024,25,Female,East Brittanystad,Bengali,Laptop,Net Banking,False,1,2022-06-22,2025-03-08,33,31635.85,0.61,Evening,3,Drama
user_0025,24,Female,Lake Jillbury,Tamil,Tablet,UPI,False,0,2023-02-04,2025-10-21,33,35150.94,0.43,Evening,4,Romance
user_0026,41,Male,Port Kennethhaven,Telugu,Smart TV,Wallet,True,0,2024-04-20,2024-11-16,7,7456.26,0.83,Night,2,Action
user_0027,23,Female,West Wendyville,Bengali,Smart TV,Wallet,True,0,2023-04-27,2024-08-19,16,17042.88,0.75,Evening,3,Action
user_0028,37,Male,Howardfort,English,Laptop,UPI,True,0,2024-03-22,2024-06-20,3,3195.54,0.4,Evening,2,Thriller
user_0029,58,Female,Jodyview,English,Laptop,Debit Card,True,1,2023-06-02,2025-12-18,31,29718.52,0.91,Afternoon,1,Drama
user_0030,29,Female,New Christine,Telugu,Mobile,Net Banking,True,1,2024-05-10,2024-10-07,5,4793.31,0.55,Evening,2,Documentary
user_0031,25,Female,Jeremystad,English,Desktop,UPI,True,1,2022-10-01,2024-05-23,20,19173.24,0.76,Evening,4,Sci-Fi
user_0032,66,Male,Elizabethtown,Telugu,Mobile,UPI,True,0,2022-09-05,2024-12-23,28,29825.04,0.99,Afternoon,1,Romance
user_0033,41,Female,Toddside,English,Tablet,Credit Card,True,0,2023-09-20,2024-09-14,12,12782.16,0.5,Night,3,Comedy
user_0034,19,Male,New Zacharyhaven,English,Mobile,UPI,True,1,2023-06-28,2024-07-22,13,12462.61,0.41,Evening,1,Comedy
user_0035,61,Female,East Zoe,Spanish,Mobile,Credit Card,True,1,2023-12-24,2026-09-09,33,31635.85,0.54,Evening,2,Romance
user_0036,66,Female,North Amber,Hindi,Mobile,UPI,True,0,2022-10-11,2024-03-04,17,18108.06,0.97,Evening,3,Comedy
user_0037,21,Female,Porterport,Marathi,Laptop,UPI,True,1,2022-12-20,2025-05-08,29,27801.2,0.62,Evening,3,Action
user_0038,37,Male,Collinsfurt,English,Mobile,UPI,False,0,2023-03-08,2023-04-07,1,1065.18,0.79,Evening,2,Romance
user_0039,64,Male,Lake Kathleen,Marathi,Smart TV,UPI,False,0,2023-09-09,2025-09-28,25,26629.5,0.93,Night,3,Romance
user_0040,48,Female,Brendahaven,Hindi,Desktop,Credit Card,True,0,2024-01-06,2025-03-31,15,15977.7,0.82,Night,1,Documentary
user_0041,53,Female,Port Guy,Telugu,Mobile,Credit Card,True,0,2023-04-25,2024-04-19,12,12782.16,0.64,Afternoon,1,Action
user_0042,35,Female,Lake Andrestown,English,Tablet,Debit Card,True,0,2023-09-24,2024-02-21,5,5325.9,0.51,Evening,4,Drama
user_0043,61,Female,South Jacob,English,Mobile,Credit Card,True,0,2022-09-16,2024-03-09,18,19173.24,0.55,Evening,2,Sci-Fi
user_0044,54,Female,Stephaniemouth,Spanish,Desktop,Debit Card,False,0,2023-09-22,2023-12-21,3,3195.54,0.86,Evening,2,Romance
user_0045,55,Female,East Allisonchester,Bengali,Mobile,Net Banking,True,0,2023-04-06,2024-07-29,16,17042.88,0.99,Afternoon,2,Action
user_0046,36,Other,Nathanfort,Bengali,Mobile,Debit Card,True,1,2022-12-30,2024-03-24,15,14379.93,0.99,Night,2,Drama
user_0047,23,Male,North Valerie,Tamil,Smart TV,Debit Card,False,0,2023-09-30,2026-01-17,28,29825.04,0.7,Afternoon,4,Romance
user_0048,59,Female,East Tamarahaven,Hindi,Laptop,Debit Card,True,0,2024-05-08,2025-10-30,18,19173.24,0.7,Afternoon,1,Thriller
user_0049,67,Female,East David,Tamil,Laptop,Debit Card,True,0,2022-10-16,2023-04-14,6,6391.08,0.78,Evening,3,Drama
user_0050,28,Male,Michelehaven,Hindi,Laptop,Credit Card,True,0,2024-02-27,2025-05-22,15,15977.7,0.56,Afternoon,4,Sci-Fi
